time_slice,cluster_id,cluster_label,centrality,density,paper_count,keywords
2024-2025,11,air cargo; competitiveness; cross-border,97.0,2.2777777777777777,50,air cargo; competitiveness; cross-border; customs clearance; decision-making; digitalization; e-commerce; economy; gravity model; industry 4.0; information system; law; logistics performance; operational efficiency; sustainable development; technology; technology adoption; trade
2024-2025,12,forecast; import; sarimax,9.0,1.0,5,forecast; import; sarimax; time series analysis
2024-2025,13,ai; barriers; cybersecurity,30.0,0.75,12,ai; barriers; cybersecurity; logistics infrastructure
2024-2025,14,data mining; logistic regression; support vector machine,11.0,0.6666666666666666,7,data mining; logistic regression; support vector machine
2024-2025,15,cross-border dual-channel supply chain; stackelberg game; tax differences,15.0,2.0,4,cross-border dual-channel supply chain; stackelberg game; tax differences
2024-2025,16,cross-border e-commerce supply chain; knowledge mapping; research trends,15.0,1.3333333333333333,4,cross-border e-commerce supply chain; knowledge mapping; research trends
2024-2025,17,classification,3.0,0.0,3,classification
2024-2025,18,cnn; convolutional neural network; edge computing,12.0,0.8,7,cnn; convolutional neural network; edge computing; logistics optimization; supply chain efficiency
2024-2025,19,ai ethics; ai standards; digital divide,13.0,1.75,4,ai ethics; ai standards; digital divide; wto
2024-2025,20,customs declaration,1.0,0.0,2,customs declaration
2024-2025,21,fraud detection; model; prediction,14.0,1.0,9,fraud detection; model; prediction; sales forecasting
2024-2025,22,data fusion; literature review; supply chain digitalization,8.0,0.6666666666666666,4,data fusion; literature review; supply chain digitalization
2024-2025,23,trade costs,1.0,0.0,2,trade costs
2024-2025,24,automatic identification system,2.0,0.0,2,automatic identification system
2026-2026,0,deep learning; digital transformation; esg,1.0,1.2857142857142858,12,deep learning; digital transformation; esg; large language models; machine learning; random forest; sustainability
2026-2026,1,blockchain; cross-border e-commerce; digitalization,1.0,1.0,10,blockchain; cross-border e-commerce; digitalization; knowledge graph; risk management
